"","id","title","publication_date","viewCount","favoriteCount","likeCount","dislikeCount","commentCount","url"
"15","3wAf4vcMGIs","BRUNA VIOLA-DIAMANTINO-MT","2010-03-09T12:32:17.000Z","8097","0","63","2","0","https://www.youtube.com/watch?v=3wAf4vcMGIs"
"16","4kCqE7nNI5o","BRUNA VIOLA SESC POMPÉIA-SP 24-01-2012 VACA ESTRELA E BOI FUBÁ.MPG","2012-01-25T20:14:01.000Z","10396","0","54","2","5","https://www.youtube.com/watch?v=4kCqE7nNI5o"
"17","6BjyBAcW6Gs","BRUNA VIOLA-CANARANA-MT-2010- BRINCANDO COM A VIOLA","2010-09-08T00:22:23.000Z","735","0","7","0","1","https://www.youtube.com/watch?v=6BjyBAcW6Gs"
"18","9qf82k7mNFI","BRUNA VIOLA - E DAÍ - PRIMAVERA DO LESTE-MT-2010","2010-06-21T23:54:20.000Z","1494","0","8","1","1","https://www.youtube.com/watch?v=9qf82k7mNFI"
"19","9xgc1KT3HXU","BRUNA VIOLA-SORRISO-MT-2009","2009-09-23T19:55:27.000Z","511","0","4","0","0","https://www.youtube.com/watch?v=9xgc1KT3HXU"
"20","aaAc5yA16nc","BRUNA VIOLA-SINOP-MT-2009","2009-10-04T04:05:52.000Z","367","0","3","0","0","https://www.youtube.com/watch?v=aaAc5yA16nc"
"21","AfbcdvpEcow","PEÃO DO VALE E SIMONIDES----------BRUNA VIOLA","2009-10-13T00:17:30.000Z","1838","0","23","1","1","https://www.youtube.com/watch?v=AfbcdvpEcow"
"22","AX2KMPthMvg","BRUNA VIOLA-ZUEIRA COM EQUIPE NA VAN-CAPOEIRA NA VAN","2010-05-18T17:48:08.000Z","1485","0","18","0","0","https://www.youtube.com/watch?v=AX2KMPthMvg"
"23","Bhaps_SDGAE","BRUNA VIOLA-ABERTURA-FESTA DA IGREJA DE NOSSA SENHORA APARECIDA-DIA DAS CRIANÇAS-2010-CUIABÁ-MT","2010-10-13T16:14:16.000Z","1701","0","14","0","0","https://www.youtube.com/watch?v=Bhaps_SDGAE"
"24","C_xvH6f40m8","BRUNA VIOLA-SORRISO-MT-2009","2009-09-23T17:58:45.000Z","4168","0","17","1","4","https://www.youtube.com/watch?v=C_xvH6f40m8"
"25","CB6KFxEoI5g","BRUNA VIOLA -RODA DE VIOLA CHÁCARA TARUMÃ-26/08/2012","2012-08-27T14:51:06.000Z","338591","0","1955","60","75","https://www.youtube.com/watch?v=CB6KFxEoI5g"
"26","ck_YqXj1brg","BRUNA VIOLA APRESENTA: VIDA DE PESCADOR =D","2012-05-17T16:20:39.000Z","33083","0","274","6","13","https://www.youtube.com/watch?v=ck_YqXj1brg"
"27","CL2EL0jJlZQ","BRUNA VIOLA-SINOP-MT-2009","2009-10-01T03:26:04.000Z","250","0","2","0","1","https://www.youtube.com/watch?v=CL2EL0jJlZQ"
"28","cMICf8nDqiE","BRUNA VIOLA-MARCELÂNDIA-MT-CASA DOS MACHOS","2010-08-08T22:37:32.000Z","1534","0","8","0","0","https://www.youtube.com/watch?v=cMICf8nDqiE"
"29","ctFrXviQ7yU","BRUNA VIOLA-ZUEIRA COM A EQUIPE NA VAN-PATINHOS","2010-05-18T17:33:42.000Z","983","0","17","0","0","https://www.youtube.com/watch?v=ctFrXviQ7yU"
"30","cUSQ3Gm-QMQ","BRUNA VIOLA CANTANDO A MÚSICA  PARANÁ GURY-COMPOSIÇÃO DE JOSÉ CANDIDO.MPG","2010-04-19T01:11:34.000Z","123941","0","488","13","73","https://www.youtube.com/watch?v=cUSQ3Gm-QMQ"
"31","DjC5NC6Etuk","BRUNA VIOLA-ZUEIRA NA VAN 2012-SÓ SE FOR GELADA","2012-11-05T17:52:47.000Z","15074","0","146","2","7","https://www.youtube.com/watch?v=DjC5NC6Etuk"
"32","DK9RHsIqLD8","BRUNA VIOLA  DETONOU.MPG","2010-06-17T11:51:37.000Z","1665","0","21","0","1","https://www.youtube.com/watch?v=DK9RHsIqLD8"
"33","dl-N4smbIaY","BRUNA VIOLA-SORRISO-MT","2009-09-23T20:56:56.000Z","1865","0","10","0","2","https://www.youtube.com/watch?v=dl-N4smbIaY"
"34","dmWowJNMPpg","BRUNA VIOLA  SESC POMPÉIA-SP 24-01-2012-FLOR MATOGROSSENSE.MPG","2012-01-25T19:06:29.000Z","8153","0","49","1","4","https://www.youtube.com/watch?v=dmWowJNMPpg"
"35","DuVfb8CNBvM","BRUNA VIOLA-SINOP-MT-2009","2009-10-01T00:51:00.000Z","369","0","2","0","0","https://www.youtube.com/watch?v=DuVfb8CNBvM"
"36","e4VizWYs_0Y","BRUNA VIOLA,JOÃO CARREIRO E CAPATAZ,ATAÍDE E ALEXANDRE,CAIO CESAR E DIEGO,NA TV APARECIDA 03 2011 SACO DE OURO","2011-03-30T03:17:56.000Z","74785","0","285","7","20","https://www.youtube.com/watch?v=e4VizWYs_0Y"
"37","E7H1dtheveg","BRUNA VIOLA-ZUEIRA COM A EQUIPE NA VAN-FILME-""20th Century Fox""","2010-08-08T22:07:29.000Z","1120","0","13","1","0","https://www.youtube.com/watch?v=E7H1dtheveg"
"38","E8yXGYSpQfQ","BRUNA VIOLA-SORRISO-MT-2009","2009-09-23T20:47:15.000Z","366","0","5","0","0","https://www.youtube.com/watch?v=E8yXGYSpQfQ"
"39","EFJz8DJzau4","BRUNA VIOLA- SESC POMPÉIA-SP-24-01-2012 SACO DE OURO.MPG","2012-01-25T20:23:00.000Z","5790","0","26","1","4","https://www.youtube.com/watch?v=EFJz8DJzau4"
"40","eGVhw6K0YAc","BRUNA VIOLA-SORRISO-MT-2009","2009-09-23T19:17:31.000Z","405","0","5","0","0","https://www.youtube.com/watch?v=eGVhw6K0YAc"
"41","eHQp7uSnWwo","TERRITORIO SERTANEJO-GAROTO PROPAGANDA.MPG","2010-04-29T01:38:19.000Z","453","0","3","1","0","https://www.youtube.com/watch?v=eHQp7uSnWwo"
"42","en8iqC8bBVw","BRUNA VIOLA - METEORO - PRIMAVERA DO LESTE-MT-2010","2010-06-22T00:27:50.000Z","1613","0","14","0","0","https://www.youtube.com/watch?v=en8iqC8bBVw"
"43","eQjBzJXQRtQ","BRUNA VIOLA-BARRA DO BUGRE-MT   2009","2009-09-07T04:09:27.000Z","1673","0","12","0","1","https://www.youtube.com/watch?v=eQjBzJXQRtQ"
